Phrase,Entities
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec un arrêt à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je pars de Bordeaux à Lyon, en passant par Toulouse.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je voyage de Nantes à Lille, avec une escale à Paris.","[[28, 35, 'DEPARTURE'], [41, 47, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je vais de Marseille à Nice, en m'arrêtant à Toulon.","[[30, 36, 'DEPARTURE'], [41, 45, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je souhaite aller de Lyon à Strasbourg avec une escale à Dijon.,"[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je pars de Nice pour rejoindre Toulouse, avec un arrêt à Marseille.","[[12, 17, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je vais de Lille à Marseille en m'arrêtant à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je quitte Strasbourg pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je voyage de Paris à Nantes, en passant par Angers.","[[25, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Bordeaux pour aller à Strasbourg avec un arrêt à Lyon.,"[[22, 30, 'DEPARTURE'], [38, 44, 'DESTINATION'], [50, 55, 'ESCALE']]"
"Je vais de Rennes à Toulouse, en m'arrêtant à Nantes.","[[15, 22, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je quitte Lyon pour rejoindre Nice, avec une escale à Marseille.","[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je voyage de Lille à Paris en m'arrêtant à Amiens.,"[[12, 17, 'DEPARTURE'], [29, 35, 'DESTINATION'], [41, 47, 'ESCALE']]"
Je pars de Nice pour aller à Clermont-Ferrand avec une escale à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
"Je vais de Bordeaux à Nantes, en passant par Angers.","[[22, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je quitte Lyon pour aller à Marseille avec un arrêt à Avignon.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
"Je souhaite voyager de Toulouse à Paris, en m'arrêtant à Lyon.","[[20, 25, 'DEPARTURE'], [36, 43, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je pars de Strasbourg pour rejoindre Bordeaux, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je vais de Nice à Lille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [30, 36, 'DESTINATION'], [45, 50, 'ESCALE']]"
Je pars de Paris pour aller à Toulouse en m'arrêtant à Montpellier.,"[[25, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
"Je vais de Clermont-Ferrand à Rennes, avec une escale à Nantes.","[[20, 30, 'DEPARTURE'], [36, 42, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je pars de Paris pour rejoindre Marseille avec un arrêt à Lyon.,"[[12, 17, 'DEPARTURE'], [29, 37, 'DESTINATION'], [46, 50, 'ESCALE']]"
Je quitte Bordeaux pour aller à Nice en passant par Toulouse.,"[[12, 20, 'DEPARTURE'], [34, 38, 'DESTINATION'], [46, 54, 'ESCALE']]"
Je voyage de Nantes à Rennes avec une escale à Angers.,"[[12, 18, 'DEPARTURE'], [22, 28, 'DESTINATION'], [38, 44, 'ESCALE']]"
Je vais de Strasbourg à Lille en m'arrêtant à Nancy.,"[[12, 23, 'DEPARTURE'], [29, 34, 'DESTINATION'], [48, 53, 'ESCALE']]"
Je quitte Clermont-Ferrand pour aller à Lyon avec une escale à Saint-Étienne.,"[[12, 28, 'DEPARTURE'], [38, 42, 'DESTINATION'], [50, 63, 'ESCALE']]"
"Je pars de Lille pour rejoindre Bordeaux, en m'arrêtant à Paris.","[[12, 17, 'DEPARTURE'], [29, 37, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je vais de Paris à Toulouse en passant par Limoges.,"[[12, 17, 'DEPARTURE'], [21, 29, 'DESTINATION'], [43, 50, 'ESCALE']]"
Je voyage de Nice à Lyon avec un arrêt à Marseille.,"[[12, 17, 'DEPARTURE'], [22, 26, 'DESTINATION'], [36, 44, 'ESCALE']]"
Je quitte Marseille pour aller à Nantes avec une escale à Bordeaux.,"[[12, 21, 'DEPARTURE'], [32, 38, 'DESTINATION'], [50, 58, 'ESCALE']]"
Je pars de Strasbourg pour rejoindre Lyon en m'arrêtant à Dijon.,"[[12, 23, 'DEPARTURE'], [36, 40, 'DESTINATION'], [54, 59, 'ESCALE']]"
Je vais de Toulouse à Clermont-Ferrand en passant par Limoges.,"[[12, 20, 'DEPARTURE'], [33, 49, 'DESTINATION'], [61, 68, 'ESCALE']]"
Je quitte Nice pour aller à Bordeaux avec une escale à Marseille.,"[[12, 17, 'DEPARTURE'], [28, 36, 'DESTINATION'], [48, 56, 'ESCALE']]"
Je voyage de Lyon à Paris en passant par Dijon.,"[[12, 16, 'DEPARTURE'], [20, 25, 'DESTINATION'], [39, 44, 'ESCALE']]"
Je pars de Rennes pour rejoindre Strasbourg en m'arrêtant à Nantes.,"[[12, 18, 'DEPARTURE'], [32, 42, 'DESTINATION'], [56, 62, 'ESCALE']]"
Je vais de Lille à Toulouse en passant par Bordeaux.,"[[12, 17, 'DEPARTURE'], [26, 34, 'DESTINATION'], [46, 54, 'ESCALE']]"
Je quitte Bordeaux pour aller à Lyon avec une escale à Clermont-Ferrand.,"[[12, 20, 'DEPARTURE'], [31, 35, 'DESTINATION'], [47, 63, 'ESCALE']]"
Je voyage de Nantes à Marseille en passant par Lyon.,"[[12, 18, 'DEPARTURE'], [22, 30, 'DESTINATION'], [44, 48, 'ESCALE']]"
Je pars de Strasbourg pour aller à Toulouse avec une escale à Bordeaux.,"[[12, 23, 'DEPARTURE'], [36, 44, 'DESTINATION'], [56, 64, 'ESCALE']]"
Je vais de Paris à Nice en passant par Marseille.,"[[12, 17, 'DEPARTURE'], [21, 25, 'DESTINATION'], [39, 47, 'ESCALE']]"
Je quitte Lyon pour aller à Lille avec un arrêt à Paris.,"[[12, 16, 'DEPARTURE'], [27, 32, 'DESTINATION'], [44, 49, 'ESCALE']]"
Je voyage de Bordeaux à Nantes en passant par Angers.,"[[12, 20, 'DEPARTURE'], [24, 30, 'DESTINATION'], [44, 50, 'ESCALE']]"
Je pars de Clermont-Ferrand pour aller à Nice avec une escale à Lyon.,"[[12, 28, 'DEPARTURE'], [39, 43, 'DESTINATION'], [55, 59, 'ESCALE']]"
Je vais de Rennes à Strasbourg en m'arrêtant à Lille.,"[[12, 18, 'DEPARTURE'], [32, 42, 'DESTINATION'], [56, 61, 'ESCALE']]"
Je quitte Marseille pour rejoindre Lyon avec une escale à Avignon.,"[[12, 21, 'DEPARTURE'], [32, 36, 'DESTINATION'], [48, 55, 'ESCALE']]"
Je voyage de Paris à Bordeaux en passant par Tours.,"[[12, 17, 'DEPARTURE'], [21, 29, 'DESTINATION'], [43, 48, 'ESCALE']]"
Je pars de Lille pour aller à Rennes avec un arrêt à Caen.,"[[12, 17, 'DEPARTURE'], [28, 34, 'DESTINATION'], [46, 50, 'ESCALE']]"
Je vais de Toulouse à Nantes en passant par Angers.,"[[12, 20, 'DEPARTURE'], [30, 36, 'DESTINATION'], [50, 56, 'ESCALE']]"
Je quitte Lyon pour aller à Paris avec une escale à Dijon.,"[[12, 16, 'DEPARTURE'], [27, 32, 'DESTINATION'], [44, 49, 'ESCALE']]"
Je voyage de Bordeaux à Marseille en m'arrêtant à Toulouse.,"[[12, 20, 'DEPARTURE'], [24, 32, 'DESTINATION'], [46, 54, 'ESCALE']]"
Je pars de Nantes pour rejoindre Lille avec un arrêt à Rouen.,"[[12, 18, 'DEPARTURE'], [32, 37, 'DESTINATION'], [49, 54, 'ESCALE']]"
Je vais de Strasbourg à Toulouse en passant par Bordeaux.,"[[12, 23, 'DEPARTURE'], [33, 41, 'DESTINATION'], [53, 61, 'ESCALE']]"
Je quitte Nice pour aller à Paris avec une escale à Marseille.,"[[12, 17, 'DEPARTURE'], [28, 33, 'DESTINATION'], [45, 53, 'ESCALE']]"
Je voyage de Rennes à Lyon en passant par Nantes.,"[[12, 18, 'DEPARTURE'], [28, 32, 'DESTINATION'], [46, 52, 'ESCALE']]"
Je pars de Toulouse pour rejoindre Nice en m'arrêtant à Marseille.,"[[12, 20, 'DEPARTURE'], [33, 37, 'DESTINATION'], [51, 59, 'ESCALE']]"
Je vais de Lille à Marseille en passant par Lyon.,"[[12, 17, 'DEPARTURE'], [27, 35, 'DESTINATION'], [49, 53, 'ESCALE']]"
Je quitte Bordeaux pour aller à Nantes avec une escale à Angers.,"[[12, 20, 'DEPARTURE'], [30, 36, 'DESTINATION'], [48, 54, 'ESCALE']]"
Je voyage de Paris à Rennes en passant par Le Mans.,"[[12, 17, 'DEPARTURE'], [21, 27, 'DESTINATION'], [41, 48, 'ESCALE']]"
Je pars de Lyon pour rejoindre Strasbourg avec un arrêt à Dijon.,"[[12, 16, 'DEPARTURE'], [27, 37, 'DESTINATION'], [49, 54, 'ESCALE']]"
Je vais de Toulouse à Bordeaux en passant par Agen.,"[[12, 20, 'DEPARTURE'], [30, 38, 'DESTINATION'], [50, 55, 'ESCALE']]"
Je quitte Nice pour aller à Lyon avec une escale à Marseille.,"[[12, 17, 'DEPARTURE'], [28, 32, 'DESTINATION'], [44, 52, 'ESCALE']]"
Je voyage de Strasbourg à Paris en passant par Nancy.,"[[12, 23, 'DEPARTURE'], [33, 38, 'DESTINATION'], [52, 57, 'ESCALE']]"
Je pars de Nantes pour aller à Lyon avec une escale à Tours.,"[[12, 18, 'DEPARTURE'], [28, 32, 'DESTINATION'], [44, 49, 'ESCALE']]"
Je vais de Rennes à Marseille en passant par Lyon.,"[[12, 18, 'DEPARTURE'], [28, 36, 'DESTINATION'], [50, 54, 'ESCALE']]"
